n-votes,n-comments,n-visitors,n-voters,n-commenters
607,28,47,607,28
607,28,48,607,28
608,28,48,608,28
609,28,48,609,28
610,28,48,610,28
611,28,48,611,28
612,28,48,612,28
613,28,48,613,28
614,28,48,614,28
615,28,48,615,28
616,28,48,616,28
616,28,49,616,28
617,28,49,617,28
618,28,49,618,28
619,28,49,619,28
620,28,49,620,28
621,28,49,621,28
622,28,49,622,28
623,28,49,623,28
624,28,49,624,28
625,28,49,625,28
626,28,49,626,28
627,28,49,627,28
628,28,49,628,28
629,28,49,629,28
630,28,49,630,28
631,28,49,631,28
632,28,49,632,28
633,28,49,633,28
634,28,49,634,28
635,28,49,635,28
636,28,49,636,28
637,28,49,637,28
638,28,49,638,28
639,28,49,639,28
640,28,49,640,28
641,28,49,641,28
642,28,49,642,28
643,28,49,643,28
644,28,49,644,28
644,28,50,644,28
645,28,50,645,28
646,28,50,646,28
647,28,50,647,28
648,28,50,648,28
649,28,50,649,28
650,28,50,650,28
651,28,50,651,28
652,28,50,652,28
653,28,50,653,28
654,28,50,654,28
655,28,50,655,28
656,28,50,656,28
657,28,50,657,28
658,28,50,658,28
659,28,50,659,28
660,28,50,660,28
661,28,50,661,28
662,28,50,662,28
663,28,50,663,28
664,28,50,664,28
665,28,50,665,28
666,28,50,666,28
667,28,50,667,28
668,28,50,668,28
669,28,50,669,28
670,28,50,670,28
671,28,50,671,28
672,28,50,672,28
672,28,51,672,28
673,28,51,673,28
674,28,51,674,28
675,28,51,675,28
676,28,51,676,28
677,28,51,677,28
678,28,51,678,28
679,28,51,679,28
680,28,51,680,28
681,28,51,681,28
682,28,51,682,28
683,28,51,683,28
684,28,51,684,28
685,28,51,685,28
686,28,51,686,28
687,28,51,687,28
688,28,51,688,28
689,28,51,689,28
690,28,51,690,28
691,28,51,691,28
692,28,51,692,28
693,28,51,693,28
694,28,51,694,28
695,28,51,695,28
696,28,51,696,28
697,28,51,697,28
698,28,51,698,28
699,28,51,699,28
700,28,51,700,28
701,28,51,701,28
702,28,51,702,28
702,28,52,702,28
703,28,52,703,28
704,28,52,704,28
705,28,52,705,28
706,28,52,706,28
706,28,53,706,28
707,28,53,707,28
708,28,53,708,28
709,28,53,709,28
710,28,53,710,28
711,28,53,711,28
712,28,53,712,28
713,28,53,713,28
714,28,53,714,28
715,28,53,715,28
716,28,53,716,28
717,28,53,717,28
718,28,53,718,28
719,28,53,719,28
720,28,53,720,28
721,28,53,721,28
722,28,53,722,28
722,28,54,722,28
723,28,54,723,28
724,28,54,724,28
725,28,54,725,28
726,28,54,726,28
727,28,54,727,28
728,28,54,728,28
728,28,55,728,28
729,28,55,729,28
730,28,55,730,28
731,28,55,731,28
732,28,55,732,28
733,28,55,733,28
734,28,55,734,28
735,28,55,735,28
736,28,55,736,28
737,28,55,737,28
738,28,55,738,28
739,28,55,739,28
740,28,55,740,28
741,28,55,741,28
742,28,55,742,28
743,28,55,743,28
744,28,55,744,28
745,28,55,745,28
746,28,55,746,28
747,28,55,747,28
748,28,55,748,28
749,28,55,749,28
750,28,55,750,28
751,28,55,751,28
752,28,55,752,28
753,28,55,753,28
754,28,55,754,28
755,28,55,755,28
756,28,55,756,28
757,28,55,757,28
758,28,55,758,28
759,28,55,759,28
759,28,56,759,28
760,28,56,760,28
761,28,56,761,28
762,28,56,762,28
763,28,56,763,28
764,28,56,764,28
765,28,56,765,28
766,28,56,766,28
767,28,56,767,28
768,28,56,768,28
769,28,56,769,28
770,28,56,770,28
770,28,57,770,28
771,28,57,771,28
772,28,57,772,28
773,28,57,773,28
774,28,57,774,28
775,28,57,775,28
776,28,57,776,28
777,28,57,777,28
778,28,57,778,28
779,28,57,779,28
780,28,57,780,28
781,28,57,781,28
782,28,57,782,28
783,28,57,783,28
784,28,57,784,28
785,28,57,785,28
786,28,57,786,28
786,28,58,786,28
787,28,58,787,28
787,28,59,787,28
788,28,59,788,28
789,28,59,789,28
790,28,59,790,28
791,28,59,791,28
792,28,59,792,28
793,28,59,793,28
794,28,59,794,28
795,28,59,795,28
796,28,59,796,28
796,28,60,796,28
797,28,60,797,28
798,28,60,798,28
798,28,61,798,28
799,28,61,799,28
800,28,61,800,28
801,28,61,801,28
802,28,61,802,28
803,28,61,803,28
803,28,62,803,28
804,28,62,804,28
805,28,62,805,28
806,28,62,806,28
807,28,62,807,28
808,28,62,808,28
809,28,62,809,28
810,28,62,810,28
811,28,62,811,28
812,28,62,812,28
813,28,62,813,28
814,28,62,814,28
815,28,62,815,28
816,28,62,816,28
817,28,62,817,28
818,28,62,818,28
819,28,62,819,28
820,28,62,820,28
821,28,62,821,28
821,28,63,821,28
822,28,63,822,28
823,28,63,823,28
824,28,63,824,28
825,28,63,825,28
826,28,63,826,28
827,28,63,827,28
828,28,63,828,28
829,28,63,829,28
829,28,64,829,28
830,28,64,830,28
831,28,64,831,28
832,28,64,832,28
833,28,64,833,28
834,28,64,834,28
835,28,64,835,28
836,28,64,836,28
837,28,64,837,28
838,28,64,838,28
839,28,64,839,28
840,28,64,840,28
841,28,64,841,28
842,28,64,842,28
843,28,64,843,28
844,28,64,844,28
845,28,64,845,28
846,28,64,846,28
847,28,64,847,28
848,28,64,848,28
849,28,64,849,28
850,28,64,850,28
851,28,64,851,28
852,28,64,852,28
853,28,64,853,28
854,28,64,854,28
855,28,64,855,28
856,28,64,856,28
857,28,64,857,28
858,28,64,858,28
859,28,64,859,28
860,28,64,860,28
861,28,64,861,28
862,28,64,862,28
863,28,64,863,28
864,28,64,864,28
864,28,65,864,28
865,28,65,865,28
866,28,65,866,28
867,28,65,867,28
868,28,65,868,28
869,28,65,869,28
870,28,65,870,28
871,28,65,871,28
872,28,65,872,28
873,28,65,873,28
874,28,65,874,28
875,28,65,875,28
876,28,65,876,28
877,28,65,877,28
878,28,65,878,28
879,28,65,879,28
880,28,65,880,28
881,28,65,881,28
882,28,65,882,28
883,28,65,883,28
884,28,65,884,28
885,28,65,885,28
886,28,65,886,28
887,28,65,887,28
888,28,65,888,28
889,28,65,889,28
890,28,65,890,28
891,28,65,891,28
892,28,65,892,28
893,28,65,893,28
894,28,65,894,28
895,28,65,895,28
896,28,65,896,28
897,28,65,897,28
898,28,65,898,28
899,28,65,899,28
900,28,65,900,28
901,28,65,901,28
902,28,65,902,28
903,28,65,903,28
904,28,65,904,28
905,28,65,905,28
906,28,65,906,28
907,28,65,907,28
908,28,65,908,28
909,28,65,909,28
910,28,65,910,28
911,28,65,911,28
912,28,65,912,28
913,28,65,913,28
914,28,65,914,28
915,28,65,915,28
916,28,65,916,28
917,28,65,917,28
918,28,65,918,28
919,28,65,919,28
920,28,65,920,28
921,28,65,921,28
922,28,65,922,28
922,28,66,922,28
923,28,66,923,28
924,28,66,924,28
925,28,66,925,28
